1|2018-06-17 00:00:00|2018-06-17 01:28:00|1|1
2|2018-06-17 11:00:00|2018-06-17 11:22:00|1|2
3|2018-06-18 14:23:00|2018-06-18 15:45:00|1|3
4|2018-06-18 17:31:00|2018-06-18 20:53:00|1|4
5|2018-06-19 06:05:00|2018-06-19 08:01:00|1|5
6|2018-06-19 20:11:00|2018-06-20 00:04:00|1|6
7|2018-06-20 09:04:00|2018-06-20 12:02:00|1|7
8|2018-06-20 12:02:00|2018-06-20 12:34:00|1|8
9|2018-06-20 13:56:00|2018-06-20 14:41:00|1|9
10|2018-06-20 17:20:00|2018-06-20 22:02:00|1|10
11|2018-06-21 22:03:00|2018-06-22 05:24:00|1|11
12|2018-05-17 10:00:00|2018-05-17 11:22:00|1|2
13|2018-05-18 14:23:00|2018-05-18 15:35:00|1|3
14|2018-05-18 17:31:00|2018-05-18 19:53:00|1|4
15|2018-05-19 06:05:00|2018-05-19 09:01:00|1|5
16|2018-05-19 20:11:00|2018-05-20 00:14:00|1|6
17|2018-05-20 09:04:00|2018-05-20 12:02:00|1|7
18|2018-05-20 12:02:00|2018-05-20 12:54:00|1|8
19|2018-05-20 13:56:00|2018-05-20 14:41:00|1|9
20|2018-05-20 17:20:00|2018-05-20 23:02:00|1|10
21|2018-05-21 22:03:00|2018-05-22 08:24:00|1|11
22|2018-05-17 00:00:00|2018-05-17 02:18:00|1|1
